path	topic	title	last_modified	words	recommendation
productivity/habits-reviewing.mdx	productivity	📊 Reviewing	2026-06-01	541	publish?
productivity/habits-tracking.mdx	productivity	Tracking	2026-06-01	469	publish?
productivity/organizing/leveraging-text-replacements.mdx	productivity	Leveraging Text Replacements	2026-06-01	58	publish?
productivity/organizing/linking.mdx	productivity	Linking	2026-06-01	84	publish?
productivity/organizing/tagging.mdx	productivity	Tagging	2026-06-01	471	publish?
productivity/processes/process-ideation.mdx	productivity	💡 The Process of Ideation	2026-06-01	1615	publish?
productivity/vocabulary/terminology-cli.mdx	productivity	🪪 CLI Terms	2026-06-01	436	publish?
productivity/vocabulary/terminology-development.mdx	productivity	🪪 Development Terms	2026-06-01	564	publish?
productivity/vocabulary/terminology-project-management.mdx	productivity	🪪 Project Management Terms	2026-06-01	399	publish?
software-development/backend-development/research/learning-python.mdx	software-development	Learning Python	2026-06-01	4	delete?
software-development/backend-development/techniques/password-injection.mdx	software-development	Password Injection	2026-06-01	6	delete?
software-development/frontend-development/research/learning-web-design.md	software-development	Learning Web Design	2026-06-01	6	delete?
software-development/backend-development/projects/develop-a-google-places-extractor.md	software-development	Develop a Google Places Extractor	2026-06-01	27	keep
software-development/backend-development/projects/develop-validation-scripts.md	software-development	Develop Validation Scripts	2026-06-01	14	keep
software-development/backend-development/research/learning-docker.mdx	software-development	Learning Docker	2026-06-01	26	keep
software-development/backend-development/research/learning-graphql.mdx	software-development	Learning GraphQL	2026-06-01	25	keep
software-development/backend-development/research/learning-linear-algebra.mdx	software-development	Learning Linear Algebra	2026-06-01	37	keep
software-development/backend-development/techniques/managing-secrets.mdx	software-development	Secrets	2026-06-01	14	keep
software-development/frontend-development/research/learning-frontend-eslint.md	software-development	Learning ESLint	2026-06-01	18	keep
software-development/scripting/projects/automate-scripts.md	software-development	Automate Scripts	2026-06-01	36	keep
software-development/scripting/projects/parsing-html.mdx	software-development	Parsing HTML	2026-06-01	16	keep
software-development/scripting/tinkering/tinker-linux.md	software-development	Tinkering with Linux	2026-06-01	22	keep
software-development/workspace/bookmarks/README.mdx	software-development	Bookmarks	2026-06-01	0	keep-flesh
software-development/workspace/setup/README.md	software-development	Workspace	2026-06-01	0	keep-flesh
software-development/backend-development/projects/develop-a-markdown-catter.md	software-development	Develop a Markdown Catter	2026-06-01	103	publish?
software-development/backend-development/projects/develop-a-mind-map-generator.md	software-development	Develop a Mind Map Generator	2026-06-01	146	publish?
software-development/backend-development/projects/develop-a-task-management-cli.md	software-development	Develop a Task Management CLI	2026-06-01	1168	publish?
software-development/backend-development/projects/develop-a-url-shortner.md	software-development	Develop a URL Shortener	2026-06-01	58	publish?
software-development/backend-development/projects/develop-a-xcallback-link-hopping-tools-glue.md	software-development	Develop a XCallback Link Hopping Tools Glue	2026-06-01	323	publish?
software-development/backend-development/projects/develop-automation-hub.md	software-development	Develop Automation Hub	2026-06-01	832	publish?
software-development/backend-development/research/learning-aws.mdx	software-development	Learning AWS	2026-06-01	487	publish?
software-development/backend-development/research/learning-http.mdx	software-development	Learning HTTP	2026-06-01	49	publish?
software-development/backend-development/research/learning-java-spring.mdx	software-development	Learning Java Spring	2026-06-01	199	publish?
software-development/backend-development/research/learning-java.mdx	software-development	Learning Java	2026-06-01	153	publish?
software-development/backend-development/research/learning-oauth.mdx	software-development	Learning OAuth	2026-06-01	59	publish?
software-development/backend-development/tinkering/tinker-graphql.md	software-development	Tinkering with GraphQL	2026-06-01	173	publish?
software-development/backend-development/tinkering/tinker-timeouts.md	software-development	Tinker Timeouts	2026-06-01	223	publish?
software-development/backend-development/tinkering/tinker-type-projections.md	software-development	Tinker Type Projections	2026-06-01	190	publish?
software-development/frontend-development/projects/concept-graph.md	software-development	Concept Graph	2026-06-01	77	publish?
software-development/frontend-development/projects/lametric-motivational-app.md	software-development	Develop a LaMetric App for Motivation	2026-06-01	778	publish?
software-development/frontend-development/projects/link-explorer.md	software-development	Link Explorer	2026-06-01	217	publish?
software-development/frontend-development/projects/note-explore-er.md	software-development	Note Explore-er	2026-06-01	102	publish?
software-development/frontend-development/projects/notebooks-with-leetcode-solutions.md	software-development	Notebooks with LeetCode Solutions	2026-06-01	210	publish?
software-development/frontend-development/projects/timeline-app.md	software-development	Develop a Timeline App	2026-06-01	92	publish?
software-development/frontend-development/projects/website-art.md	software-development	Website Art	2026-06-01	40	publish?
software-development/frontend-development/research/learning-frontend-webpack.md	software-development	Learning Frontend Webpack	2026-06-01	90	publish?
software-development/frontend-development/research/README.md	software-development	Learning Topics	2026-06-01	94	publish?
software-development/frontend-development/tinkering/tinker-geometric-design.md	software-development	Tinkering with Geometric Design	2026-06-01	62	publish?
software-development/plugins/projects/develop-a-quip-plugin.md	software-development	Development Initiative: Quip App	2026-06-01	112	publish?
software-development/plugins/projects/develop-a-vim-plugin-for-todos.md	software-development	Develop a Vim Plugin for Todos	2026-06-01	81	publish?
software-development/plugins/projects/develop-a-vscode-plugin-for-todos.md	software-development	Develop a VSCode Plugin for Todos	2026-06-01	406	publish?
software-development/plugins/projects/develop-brew-plugins-for-workspace.md	software-development	Develop Brew Plugins for Workspace	2026-06-01	326	publish?
software-development/plugins/projects/develop-tampermonkey-scripts.md	software-development	Develop Tampermonkey Scripts	2026-06-01	101	publish?
software-development/plugins/tinkering/my-first-brew-plugin.mdx	software-development	My First Brew Plugin	2026-06-01	243	publish?
software-development/plugins/tinkering/my-first-chrome-plugin.mdx	software-development	My First Chrome Plugin	2026-06-01	457	publish?
software-development/plugins/tinkering/my-first-vscode-plugin.mdx	software-development	My First VSCode Plugin	2026-06-01	61	publish?
software-development/scripting/projects/automate-backups.md	software-development	Automate Backups	2026-06-01	69	publish?
software-development/scripting/projects/automate-email-filtering.md	software-development	Automate Email Filtering	2026-06-01	437	publish?
software-development/scripting/projects/automate-notifications.md	software-development	Automate Notifications	2026-06-01	54	publish?
software-development/scripting/projects/automate-tagging.md	software-development	Automate Tagging	2026-06-01	189	publish?
software-development/scripting/projects/automate-text-replacements.md	software-development	Automate Text Replacements	2026-06-01	78	publish?
software-development/scripting/projects/develop-shortcuts.md	software-development	Develop Shortcuts	2026-06-01	421	publish?
software-development/scripting/research/learning-bash.mdx	software-development	Learning Bash	2026-06-01	81	publish?
software-development/scripting/tinkering/tinker-applescript.md	software-development	Tinkering with AppleScript	2026-06-01	256	publish?
software-development/scripting/tinkering/tinker-mac-automation.md	software-development	Tinkering with Mac Automation	2026-06-01	110	publish?
software-development/vocabulary/terminology-blog.md	software-development	🪪 Blog Terms	2026-06-01	172	publish?
software-development/vocabulary/terminology-portfolio.mdx	software-development	🪪 Portfolio Terms	2026-06-01	333	publish?
